journal,issn-l,issn-e,categories
BRAIN TUMOR PATHOLOGY,1433-7398,1861-387X,Oncology | Clinical Neurology | Pathology
BRATISLAVA MEDICAL JOURNAL,0006-9248,1336-0345,"Medicine, General & Internal"
BRAZILIAN ARCHIVES OF BIOLOGY AND TECHNOLOGY,1516-8913,1678-4324,Biology
BRAZILIAN JOURNAL OF ANESTHESIOLOGY,0104-0014,2352-2291,Anesthesiology
BRAZILIAN JOURNAL OF BOTANY,0100-8404,1806-9959,Plant Sciences
BRAZILIAN JOURNAL OF CARDIOVASCULAR SURGERY,0102-7638,1678-9741,Cardiac & Cardiovascular System | Surgery
BRAZILIAN JOURNAL OF CHEMICAL ENGINEERING,0104-6632,1678-4383,"Engineering, Chemical"
BRAZILIAN JOURNAL OF GEOLOGY,2317-4889,2317-4692,"Geosciences, Multidisciplinary"
BRAZILIAN JOURNAL OF INFECTIOUS DISEASES,1413-8670,1678-4391,Infectious Diseases
BRAZILIAN JOURNAL OF MEDICAL AND BIOLOGICAL RESEARCH,0100-879X,1414-431X,"Biology | Medicine, Research & Experimental"
BRAZILIAN JOURNAL OF MICROBIOLOGY,1517-8382,1678-4405,Microbiology
BRAZILIAN JOURNAL OF OTORHINOLARYNGOLOGY,1808-8694,1808-8686,Otorhinolaryngology
BRAZILIAN JOURNAL OF PHARMACEUTICAL SCIENCES,1984-8250,2175-9790,Pharmacology & Pharmacy
BRAZILIAN JOURNAL OF PHYSICAL THERAPY,1413-3555,1809-9246,Orthopedics | Rehabilitation
BRAZILIAN JOURNAL OF PHYSICS,0103-9733,1678-4448,"Physics, Multidisciplinary"
BRAZILIAN JOURNAL OF POULTRY SCIENCE,1516-635X,1806-9061,"Agriculture, Dairy & Animal Science"
BRAZILIAN JOURNAL OF PROBABILITY AND STATISTICS,0103-0752,0103-0752,Statistics & Probability
BRAZILIAN JOURNAL OF PSYCHIATRY,1516-4446,1809-452X,Psychiatry
BRAZILIAN ORAL RESEARCH,1807-3107,1807-3107,"Dentistry, Oral Surgery & Medicine"
BREAST,0960-9776,1532-3080,Oncology | Obstetrics & Gynecology
BREAST CANCER,1340-6868,1880-4233,Oncology | Obstetrics & Gynecology
BREAST CANCER RESEARCH,1465-5411,1465-542X,Oncology
BREAST CANCER RESEARCH AND TREATMENT,0167-6806,1573-7217,Oncology
BREAST CANCER-TARGETS AND THERAPY,1179-1314,1179-1314,Oncology
BREAST CARE,1661-3791,1661-3805,Oncology | Obstetrics & Gynecology
BREASTFEEDING MEDICINE,1556-8253,1556-8342,Obstetrics & Gynecology | Pediatrics
BREAST JOURNAL,1075-122X,1524-4741,Oncology | Obstetrics & Gynecology
BREEDING SCIENCE,1344-7610,1347-3735,Agronomy | Plant Sciences
BRIEFINGS IN BIOINFORMATICS,1467-5463,1477-4054,Biochemical Research Methods | Mathematical & Computational Biology
BRIEFINGS IN FUNCTIONAL GENOMICS,2041-2649,2041-2657,Biotechnology & Applied Microbiology | Genetics & Heredity
BRITISH DENTAL JOURNAL,0007-0610,1476-5373,"Dentistry, Oral Surgery & Medicine"
BRITISH FOOD JOURNAL,0007-070X,1758-4108,Agricultural Economics & Policy | Food Science & Technology
BRITISH JOURNAL FOR THE PHILOSOPHY OF SCIENCE,0007-0882,1464-3537,History & Philosophy Of Science
BRITISH JOURNAL OF ANAESTHESIA,0007-0912,1471-6771,Anesthesiology
BRITISH JOURNAL OF BIOMEDICAL SCIENCE,0967-4845,2474-0896,Medical Laboratory Technology
BRITISH JOURNAL OF CANCER,0007-0920,1532-1827,Oncology
BRITISH JOURNAL OF CLINICAL PHARMACOLOGY,0306-5251,1365-2125,Pharmacology & Pharmacy
BRITISH JOURNAL OF DERMATOLOGY,0007-0963,1365-2133,Dermatology
BRITISH JOURNAL OF GENERAL PRACTICE,0960-1643,1478-5242,"Primary Health Care | Medicine, General & Internal"
BRITISH JOURNAL OF HAEMATOLOGY,0007-1048,1365-2141,Hematology
BRITISH JOURNAL OF HOSPITAL MEDICINE,1750-8460,1759-7390,"Medicine, General & Internal"
BRITISH JOURNAL OF MATHEMATICAL & STATISTICAL PSYCHOLOGY,0007-1102,2044-8317,"Mathematics, Interdisciplinary Applications | Statistics & Probability"
BRITISH JOURNAL OF NEUROSURGERY,0268-8697,1360-046X,Clinical Neurology | Surgery
BRITISH JOURNAL OF NUTRITION,0007-1145,1475-2662,Nutrition & Dietetics
BRITISH JOURNAL OF OCCUPATIONAL THERAPY,0308-0226,1477-6006,Rehabilitation
BRITISH JOURNAL OF OPHTHALMOLOGY,0007-1161,1468-2079,Ophthalmology
BRITISH JOURNAL OF ORAL & MAXILLOFACIAL SURGERY,0266-4356,1532-1940,"Dentistry, Oral Surgery & Medicine | Surgery"
BRITISH JOURNAL OF PHARMACOLOGY,0007-1188,1476-5381,Pharmacology & Pharmacy
BRITISH JOURNAL OF PSYCHIATRY,0007-1250,1472-1465,Psychiatry
BRITISH JOURNAL OF RADIOLOGY,0007-1285,1748-880X,"Radiology, Nuclear Medicine & Medical Imaging"
BRITISH JOURNAL OF SPORTS MEDICINE,0306-3674,1473-0480,Sport Sciences
BRITISH MEDICAL BULLETIN,0007-1420,1471-8391,"Medicine, General & Internal"
BRITISH POULTRY SCIENCE,0007-1668,1466-1799,"Agriculture, Dairy & Animal Science"
BRITTONIA,0007-196X,1938-436X,Plant Sciences
BRODOGRADNJA,0007-215X,1845-5859,"Engineering, Marine"
BRYOLOGIST,0007-2745,1938-4378,Plant Sciences
BSGF-EARTH SCIENCES BULLETIN,0037-9409,1777-5817,"Geosciences, Multidisciplinary"
BUFFALO BULLETIN,0125-6726,2539-5696,"Agriculture, Dairy & Animal Science"
BUILDING AND ENVIRONMENT,0360-1323,1873-684X,"Construction & Building Technology | Engineering, Environmental | Engineering, Civil"
BUILDING RESEARCH AND INFORMATION,0961-3218,1466-4321,Construction & Building Technology
BUILDINGS,,2075-5309,"Construction & Building Technology | Engineering, Civil"
BUILDING SERVICES ENGINEERING RESEARCH & TECHNOLOGY,0143-6244,1477-0849,Construction & Building Technology
BUILDING SIMULATION,1996-3599,1996-8744,Thermodynamics | Construction & Building Technology
BULLETIN DE L ACADEMIE NATIONALE DE MEDECINE,0001-4079,2271-4820,"Medicine, General & Internal"
BULLETIN DE LA SOCIETE LINNEENNE DE LYON,2554-5280,,Biology
BULLETIN DE LA SOCIETE MATHEMATIQUE DE FRANCE,0037-9484,2102-622X,Mathematics
BULLETIN DES SCIENCES MATHEMATIQUES,0007-4497,1952-4773,"Mathematics, Applied"
BULLETIN DU CANCER,0007-4551,1769-6917,Oncology
BULLETIN MATHEMATIQUE DE LA SOCIETE DES SCIENCES MATHEMATIQUES DE ROUMANIE,1220-3874,2065-0264,Mathematics
BULLETIN OF EARTHQUAKE ENGINEERING,1570-761X,1573-1456,"Engineering, Geological | Geosciences, Multidisciplinary"
BULLETIN OF ENGINEERING GEOLOGY AND THE ENVIRONMENT,1435-9529,1435-9537,"Engineering, Environmental | Engineering, Geological | Geosciences, Multidisciplinary"
BULLETIN OF ENTOMOLOGICAL RESEARCH,0007-4853,1475-2670,Entomology
BULLETIN OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY,0007-4861,1432-0800,Environmental Sciences | Toxicology
BULLETIN OF EXPERIMENTAL BIOLOGY AND MEDICINE,0007-4888,1573-8221,"Medicine, Research & Experimental"
BULLETIN OF GEOPHYSICS AND OCEANOGRAPHY,2785-339X,2785-2970,Geochemistry & Geophysics
BULLETIN OF GEOSCIENCES,1214-1119,1802-8225,"Geosciences, Multidisciplinary | Paleontology"
BULLETIN OF INSECTOLOGY,1721-8861,2283-0332,Entomology
BULLETIN OF MARINE SCIENCE,0007-4977,1553-6955,Marine & Freshwater Biology | Oceanography
BULLETIN OF MATERIALS SCIENCE,0250-4707,0973-7669,"Materials Science, Multidisciplinary"
BULLETIN OF MATHEMATICAL BIOLOGY,0092-8240,1522-9602,Biology | Mathematical & Computational Biology
BULLETIN OF MATHEMATICAL SCIENCES,1664-3607,1664-3615,Mathematics
BULLETIN OF SYMBOLIC LOGIC,1079-8986,1943-5894,Mathematics | Logic
BULLETIN OF THE AMERICAN MATHEMATICAL SOCIETY,0273-0979,1088-9485,Mathematics
BULLETIN OF THE AMERICAN METEOROLOGICAL SOCIETY,0003-0007,1520-0477,Meteorology & Atmospheric Sciences
BULLETIN OF THE AMERICAN MUSEUM OF NATURAL HISTORY,0003-0090,1937-3546,Biodiversity Conservation | Ecology
BULLETIN OF THE AUSTRALIAN MATHEMATICAL SOCIETY,0004-9727,1755-1633,Mathematics
BULLETIN OF THE BELGIAN MATHEMATICAL SOCIETY-SIMON STEVIN,1370-1444,2034-1970,Mathematics
BULLETIN OF THE BRAZILIAN MATHEMATICAL SOCIETY,1678-7544,1678-7714,Mathematics
BULLETIN OF THE CHEMICAL SOCIETY OF ETHIOPIA,1011-3924,1726-801X,"Chemistry, Multidisciplinary"
BULLETIN OF THE CHEMICAL SOCIETY OF JAPAN,0009-2673,1348-0634,"Chemistry, Multidisciplinary"
BULLETIN OF THE EUROPEAN ASSOCIATION OF FISH PATHOLOGISTS,0108-0288,0108-0288,Fisheries | Marine & Freshwater Biology
BULLETIN OF THE GEOLOGICAL SOCIETY OF DENMARK,2245-7070,2245-7070,"Geosciences, Multidisciplinary"
BULLETIN OF THE GEOLOGICAL SOCIETY OF FINLAND,0367-5211,1799-4632,Geology
BULLETIN OF THE HISTORY OF MEDICINE,0007-5140,1086-3176,History & Philosophy Of Science | Health Care Sciences & Services
BULLETIN OF THE IRANIAN MATHEMATICAL SOCIETY,1017-060X,1735-8515,Mathematics
BULLETIN OF THE KOREAN CHEMICAL SOCIETY,0253-2964,1229-5949,"Chemistry, Multidisciplinary"
BULLETIN OF THE KOREAN MATHEMATICAL SOCIETY,1015-8634,1015-8634,Mathematics
BULLETIN OF THE LEBEDEV PHYSICS INSTITUTE,1068-3356,1934-838X,"Physics, Multidisciplinary"
BULLETIN OF THE LONDON MATHEMATICAL SOCIETY,0024-6093,1469-2120,Mathematics
BULLETIN OF THE MALAYSIAN MATHEMATICAL SCIENCES SOCIETY,0126-6705,2180-4206,Mathematics
BULLETIN OF THE PEABODY MUSEUM OF NATURAL HISTORY,0079-032X,2162-4135,Biodiversity Conservation | Ecology
BULLETIN OF THE POLISH ACADEMY OF SCIENCES-TECHNICAL SCIENCES,0239-7528,2300-1917,"Engineering, Multidisciplinary"
BULLETIN OF THE SEISMOLOGICAL SOCIETY OF AMERICA,0037-1106,1943-3573,Geochemistry & Geophysics
BULLETIN OF THE WORLD HEALTH ORGANIZATION,0042-9686,1564-0604,"Public, Environmental & Occupational Health"
BULLETIN OF VOLCANOLOGY,0258-8900,1432-0819,"Geosciences, Multidisciplinary"
BUNDESGESUNDHEITSBLATT-GESUNDHEITSFORSCHUNG-GESUNDHEITSSCHUTZ,1436-9990,1437-1588,"Public, Environmental & Occupational Health"
BUNSEKI KAGAKU,0525-1931,,"Chemistry, Analytical"
BURNS,0305-4179,1879-1409,Critical Care Medicine | Dermatology | Surgery
BURNS & TRAUMA,2321-3868,2321-3876,Emergency Medicine | Dermatology | Surgery
BUSINESS & INFORMATION SYSTEMS ENGINEERING,2363-7005,1867-0202,"Computer Science, Information Systems"
CA-A CANCER JOURNAL FOR CLINICIANS,0007-9235,1542-4863,Oncology
CAAI TRANSACTIONS ON INTELLIGENCE TECHNOLOGY,2468-6557,2468-2322,"Computer Science, Artificial Intelligence"
CADERNOS DE SAUDE PUBLICA,0102-311X,1678-4464,"Public, Environmental & Occupational Health"
CAHIERS AGRICULTURES,1166-7699,1777-5949,"Agriculture, Multidisciplinary | Agronomy"
CAHIERS DE BIOLOGIE MARINE,0007-9723,2262-3094,Marine & Freshwater Biology
CALCIFIED TISSUE INTERNATIONAL,0171-967X,1432-0827,Endocrinology & Metabolism
CALCOLO,0008-0624,1126-5434,"Mathematics, Applied | Mathematics"
CALCULUS OF VARIATIONS AND PARTIAL DIFFERENTIAL EQUATIONS,0944-2669,1432-0835,"Mathematics, Applied | Mathematics"
CALDASIA,0366-5232,2357-3759,Plant Sciences | Zoology
CALIFORNIA AGRICULTURE,0008-0845,2160-8091,"Agriculture, Multidisciplinary"
CALIFORNIA FISH AND WILDLIFE JOURNAL,2689-419X,2689-4203,Fisheries | Zoology
CALPHAD-COMPUTER COUPLING OF PHASE DIAGRAMS AND THERMOCHEMISTRY,0364-5916,1873-2984,"Thermodynamics | Chemistry, Physical | Materials Science, Multidisciplinary | Metallurgy & Metallurgical Engineering"
CAMBRIDGE JOURNAL OF MATHEMATICS,2168-0930,2168-0949,Mathematics
CAMBRIDGE PRISMS-GLOBAL MENTAL HEALTH,2054-4251,2054-4251,Psychiatry
CAMBRIDGE QUARTERLY OF HEALTHCARE ETHICS,0963-1801,1469-2147,Health Care Sciences & Services
CANADIAN ASSOCIATION OF RADIOLOGISTS JOURNAL-JOURNAL DE L ASSOCIATION CANADIENNE DES RADIOLOGISTES,0846-5371,1488-2361,"Radiology, Nuclear Medicine & Medical Imaging"
CANADIAN ENTOMOLOGIST,0008-347X,1918-3240,Entomology
CANADIAN FAMILY PHYSICIAN,0008-350X,1715-5258,"Primary Health Care | Medicine, General & Internal"
CANADIAN GEOTECHNICAL JOURNAL,0008-3674,1208-6010,"Engineering, Geological | Geosciences, Multidisciplinary"
CANADIAN JOURNAL OF AGRICULTURAL ECONOMICS-REVUE CANADIENNE D AGROECONOMIE,0008-3976,1744-7976,Agricultural Economics & Policy
CANADIAN JOURNAL OF ANESTHESIA-JOURNAL CANADIEN D ANESTHESIE,0832-610X,1496-8975,Anesthesiology
CANADIAN JOURNAL OF ANIMAL SCIENCE,0008-3984,1918-1825,"Agriculture, Dairy & Animal Science"
CANADIAN JOURNAL OF CARDIOLOGY,0828-282X,1916-7075,Cardiac & Cardiovascular System
CANADIAN JOURNAL OF CHEMICAL ENGINEERING,0008-4034,1939-019X,"Engineering, Chemical"
CANADIAN JOURNAL OF CHEMISTRY,0008-4042,1480-3291,"Chemistry, Multidisciplinary"
CANADIAN JOURNAL OF CIVIL ENGINEERING,0315-1468,1208-6029,"Engineering, Civil"
CANADIAN JOURNAL OF DIABETES,1499-2671,2352-3840,Endocrinology & Metabolism
CANADIAN JOURNAL OF DIETETIC PRACTICE AND RESEARCH,1486-3847,2292-9592,Nutrition & Dietetics
CANADIAN JOURNAL OF EARTH SCIENCES,0008-4077,1480-3313,"Geosciences, Multidisciplinary"
CANADIAN JOURNAL OF EMERGENCY MEDICINE,1481-8035,1481-8043,Emergency Medicine
CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES,0706-652X,1205-7533,Fisheries | Marine & Freshwater Biology
CANADIAN JOURNAL OF FOREST RESEARCH,0045-5067,1208-6037,Forestry
CANADIAN JOURNAL OF GASTROENTEROLOGY AND HEPATOLOGY,2291-2789,2291-2797,Gastroenterology & Hepatology
CANADIAN JOURNAL OF INFECTIOUS DISEASES & MEDICAL MICROBIOLOGY,1712-9532,1918-1493,Infectious Diseases | Microbiology
CANADIAN JOURNAL OF MATHEMATICS-JOURNAL CANADIEN DE MATHEMATIQUES,0008-414X,1496-4279,Mathematics
CANADIAN JOURNAL OF MICROBIOLOGY,0008-4166,1480-3275,Biotechnology & Applied Microbiology | Microbiology
CANADIAN JOURNAL OF MINERALOGY AND PETROLOGY,,2817-1713,Mineralogy
CANADIAN JOURNAL OF NEUROLOGICAL SCIENCES,0317-1671,2057-0155,Clinical Neurology
CANADIAN JOURNAL OF OCCUPATIONAL THERAPY-REVUE CANADIENNE D ERGOTHERAPIE,0008-4174,1911-9828,Rehabilitation
CANADIAN JOURNAL OF OPHTHALMOLOGY-JOURNAL CANADIEN D OPHTALMOLOGIE,0008-4182,1715-3360,Ophthalmology
CANADIAN JOURNAL OF PHYSICS,0008-4204,1208-6045,"Physics, Multidisciplinary"
CANADIAN JOURNAL OF PHYSIOLOGY AND PHARMACOLOGY,0008-4212,1205-7541,Pharmacology & Pharmacy | Physiology
CANADIAN JOURNAL OF PLANT PATHOLOGY,0706-0661,1715-2992,Plant Sciences
CANADIAN JOURNAL OF PLANT SCIENCE,0008-4220,1918-1833,Agronomy | Plant Sciences
CANADIAN JOURNAL OF PSYCHIATRY-REVUE CANADIENNE DE PSYCHIATRIE,0706-7437,1497-0015,Psychiatry
CANADIAN JOURNAL OF REMOTE SENSING,0703-8992,1712-7971,Remote Sensing
CANADIAN JOURNAL OF SOIL SCIENCE,0008-4271,1918-1841,Soil Science
CANADIAN JOURNAL OF STATISTICS-REVUE CANADIENNE DE STATISTIQUE,0319-5724,1708-945X,Statistics & Probability
CANADIAN JOURNAL OF SURGERY,0008-428X,1488-2310,Surgery
CANADIAN JOURNAL OF UROLOGY,1195-9479,1488-5581,Urology & Nephrology
CANADIAN JOURNAL OF VETERINARY RESEARCH-REVUE CANADIENNE DE RECHERCHE VETERINAIRE,,1928-9022,Veterinary Sciences
CANADIAN JOURNAL OF ZOOLOGY,0008-4301,1480-3283,Zoology
CANADIAN MATHEMATICAL BULLETIN-BULLETIN CANADIEN DE MATHEMATIQUES,0008-4395,1496-4287,Mathematics
CANADIAN MEDICAL ASSOCIATION JOURNAL,0820-3946,1488-2329,"Medicine, General & Internal"
CANADIAN METALLURGICAL QUARTERLY,0008-4433,1879-1395,Metallurgy & Metallurgical Engineering
CANADIAN RESPIRATORY JOURNAL,1198-2241,1916-7245,Respiratory System
CANADIAN VETERINARY JOURNAL-REVUE VETERINAIRE CANADIENNE,0008-5286,0008-5286,Veterinary Sciences
CANADIAN WATER RESOURCES JOURNAL,0701-1784,1918-1817,Water Resources
CANCER,0008-543X,1097-0142,Oncology
CANCER AND METASTASIS REVIEWS,0167-7659,1573-7233,Oncology
CANCER BIOLOGY & MEDICINE,2095-3941,2095-3941,"Oncology | Medicine, Research & Experimental"
CANCER BIOLOGY & THERAPY,1538-4047,1555-8576,Oncology
CANCER BIOMARKERS,1574-0153,1875-8592,Oncology
CANCER BIOTHERAPY AND RADIOPHARMACEUTICALS,1084-9785,1557-8852,"Oncology | Medicine, Research & Experimental | Pharmacology & Pharmacy | Radiology, Nuclear Medicine & Medical Imaging"
CANCER CAUSES & CONTROL,0957-5243,1573-7225,"Oncology | Public, Environmental & Occupational Health"
CANCER CELL,1535-6108,1878-3686,Oncology | Cell Biology
CANCER CELL INTERNATIONAL,,1475-2867,Oncology
CANCER CHEMOTHERAPY AND PHARMACOLOGY,0344-5704,1432-0843,Oncology | Pharmacology & Pharmacy
CANCER COMMUNICATIONS,,2523-3548,Oncology
CANCER CONTROL,1073-2748,1526-2359,Oncology
CANCER CYTOPATHOLOGY,1934-662X,1934-6638,Oncology | Pathology
CANCER DISCOVERY,2159-8274,2159-8290,Oncology
CANCER EPIDEMIOLOGY,1877-7821,1877-783X,"Oncology | Public, Environmental & Occupational Health"
CANCER EPIDEMIOLOGY BIOMARKERS & PREVENTION,1055-9965,1538-7755,"Oncology | Public, Environmental & Occupational Health"
CANCER GENE THERAPY,0929-1903,1476-5500,"Biotechnology & Applied Microbiology | Oncology | Genetics & Heredity | Medicine, Research & Experimental"
CANCER GENETICS,2210-7762,2210-7770,Oncology | Genetics & Heredity
CANCER GENOMICS & PROTEOMICS,1109-6535,1790-6245,Oncology | Genetics & Heredity
CANCER IMAGING,1740-5025,1470-7330,"Oncology | Radiology, Nuclear Medicine & Medical Imaging"
CANCER IMMUNOLOGY IMMUNOTHERAPY,0340-7004,1432-0851,Oncology | Immunology
CANCER IMMUNOLOGY RESEARCH,2326-6066,2326-6074,Oncology | Immunology
CANCER INVESTIGATION,0735-7907,1532-4192,Oncology
CANCER JOURNAL,1528-9117,1540-336X,Oncology
CANCER LETTERS,0304-3835,1872-7980,Oncology
CANCER MANAGEMENT AND RESEARCH,1179-1322,1179-1322,Oncology
CANCER MEDICINE,2045-7634,2045-7634,Oncology
CANCER & METABOLISM,,2049-3002,Oncology | Cell Biology
CANCER NANOTECHNOLOGY,1868-6958,1868-6966,Oncology | Nanoscience & Nanotechnology
CANCER NURSING,0162-220X,1538-9804,Oncology | Nursing
CANCER PREVENTION RESEARCH,1940-6207,1940-6215,Oncology
CANCER RADIOTHERAPIE,1278-3218,1769-6658,"Oncology | Radiology, Nuclear Medicine & Medical Imaging"
CANCER RESEARCH,0008-5472,1538-7445,Oncology
CANCER RESEARCH AND TREATMENT,1598-2998,2005-9256,Oncology
CANCERS,,2072-6694,Oncology
CANCER SCIENCE,1347-9032,1349-7006,Oncology
CANCER TREATMENT REVIEWS,0305-7372,1532-1967,Oncology
CANDOLLEA,0373-2967,,Plant Sciences
CANNABIS AND CANNABINOID RESEARCH,2578-5125,2378-8763,Pharmacology & Pharmacy
CARBOHYDRATE POLYMERS,0144-8617,1879-1344,"Chemistry, Applied | Chemistry, Organic | Polymer Science"
CARBOHYDRATE RESEARCH,0008-6215,1873-426X,"Biochemistry & Molecular Biology | Chemistry, Applied | Chemistry, Organic"
CARBON,0008-6223,1873-3891,"Chemistry, Physical | Materials Science, Multidisciplinary"
CARBONATES AND EVAPORITES,0891-2556,1878-5212,Geology
CARBON BALANCE AND MANAGEMENT,1750-0680,1750-0680,Environmental Sciences
CARBON ENERGY,,2637-9368,"Chemistry, Physical | Energy & Fuels | Nanoscience & Nanotechnology | Materials Science, Multidisciplinary"
CARBON LETTERS,1976-4251,2233-4998,"Chemistry, Multidisciplinary | Materials Science, Multidisciplinary"
CARBON MANAGEMENT,1758-3004,1758-3012,Environmental Sciences
CARCINOGENESIS,0143-3334,1460-2180,Oncology
CARDIOLOGY,0008-6312,1421-9751,Cardiac & Cardiovascular System
CARDIOLOGY CLINICS,0733-8651,1558-2264,Cardiac & Cardiovascular System
CARDIOLOGY IN REVIEW,1061-5377,1538-4683,Cardiac & Cardiovascular System
CARDIOLOGY IN THE YOUNG,1047-9511,1467-1107,Cardiac & Cardiovascular System | Pediatrics
CARDIOLOGY JOURNAL,1897-5593,1898-018X,Cardiac & Cardiovascular System
CARDIOLOGY RESEARCH AND PRACTICE,2090-8016,2090-0597,Cardiac & Cardiovascular System
CARDIORENAL MEDICINE,1664-3828,1664-5502,Cardiac & Cardiovascular System | Urology & Nephrology
CARDIOVASCULAR AND INTERVENTIONAL RADIOLOGY,0174-1551,1432-086X,"Cardiac & Cardiovascular System | Radiology, Nuclear Medicine & Medical Imaging"
CARDIOVASCULAR DIABETOLOGY,,1475-2840,Cardiac & Cardiovascular System | Endocrinology & Metabolism
CARDIOVASCULAR DIAGNOSIS AND THERAPY,2223-3652,2223-3660,Cardiac & Cardiovascular System
CARDIOVASCULAR DRUGS AND THERAPY,0920-3206,1573-7241,Cardiac & Cardiovascular System | Pharmacology & Pharmacy
CARDIOVASCULAR ENGINEERING AND TECHNOLOGY,1869-408X,1869-4098,"Cardiac & Cardiovascular System | Engineering, Biomedical"
CARDIOVASCULAR JOURNAL OF AFRICA,1995-1892,1680-0745,Cardiac & Cardiovascular System
CARDIOVASCULAR PATHOLOGY,1054-8807,1879-1336,Cardiac & Cardiovascular System | Pathology
CARDIOVASCULAR RESEARCH,0008-6363,1755-3245,Cardiac & Cardiovascular System
CARDIOVASCULAR THERAPEUTICS,1755-5914,1755-5922,Cardiac & Cardiovascular System | Pharmacology & Pharmacy
CARDIOVASCULAR TOXICOLOGY,1530-7905,1559-0259,Cardiac & Cardiovascular System | Toxicology
CARDIOVASCULAR ULTRASOUND,,1476-7120,Cardiac & Cardiovascular System
CARIBBEAN JOURNAL OF SCIENCE,0008-6452,0008-6452,Biodiversity Conservation
CARIES RESEARCH,0008-6568,1421-976X,"Dentistry, Oral Surgery & Medicine"
CARNETS DE GEOLOGIE,1634-0744,1765-2553,Geology | Paleontology
CARPATHIAN JOURNAL OF EARTH AND ENVIRONMENTAL SCIENCES,1842-4090,1844-489X,Environmental Sciences
CARPATHIAN JOURNAL OF MATHEMATICS,1584-2851,1843-4401,"Mathematics, Applied | Mathematics"
CARTILAGE,1947-6035,1947-6043,Orthopedics
CASE STUDIES IN CONSTRUCTION MATERIALS,2214-5095,2214-5095,"Construction & Building Technology | Engineering, Civil | Materials Science, Multidisciplinary"
CASE STUDIES IN THERMAL ENGINEERING,2214-157X,2214-157X,Thermodynamics
CASTANEA,0008-7475,1938-4386,Plant Sciences
CATALYSIS LETTERS,1011-372X,1572-879X,"Chemistry, Physical"
CATALYSIS REVIEWS-SCIENCE AND ENGINEERING,0161-4940,1520-5703,"Chemistry, Physical"
CATALYSIS SCIENCE & TECHNOLOGY,2044-4753,2044-4761,"Chemistry, Physical"
CATALYSIS SURVEYS FROM ASIA,1571-1013,1574-9266,"Chemistry, Physical"
CATALYSIS TODAY,0920-5861,1873-4308,"Chemistry, Applied | Chemistry, Physical | Engineering, Chemical"
CATALYSTS,,2073-4344,"Chemistry, Physical"
CATENA,0341-8162,1872-6887,"Geosciences, Multidisciplinary | Soil Science | Water Resources"
CATHETERIZATION AND CARDIOVASCULAR INTERVENTIONS,1522-1946,1522-726X,Cardiac & Cardiovascular System
CATTLE PRACTICE,0969-1251,,Veterinary Sciences
CBE-LIFE SCIENCES EDUCATION,1931-7913,1931-7913,"Education, Scientific Disciplines"
CELESTIAL MECHANICS & DYNAMICAL ASTRONOMY,0923-2958,1572-9478,"Astronomy & Astrophysics | Mathematics, Interdisciplinary Applications"
