,journal,issn-l,issn-e,categories,oa-id
2962,EUROPEAN BIOPHYSICS JOURNAL,0175-7571,1432-1017,Biophysics,S200539529
2963,EUROPEAN CELLS & MATERIALS,1473-2262,1473-2262,"Cell & Tissue Engineering | Engineering, Biomedical | Materials Science, Biomaterials | Orthopedics",S4210216592
2964,EUROPEAN CHILD & ADOLESCENT PSYCHIATRY,1018-8827,1435-165X,Pediatrics | Psychiatry,S159275680
2965,EUROPEAN CYTOKINE NETWORK,,1952-4005,Biochemistry & Molecular Biology | Cell Biology | Immunology,
2966,EUROPEAN FOOD RESEARCH AND TECHNOLOGY,1438-2377,1438-2385,Food Science & Technology,S169454776
2967,EUROPEAN GERIATRIC MEDICINE,1878-7649,1878-7657,Geriatrics & Gerontology,S24649050
2968,EUROPEAN HEART JOURNAL,0195-668X,1522-9645,Cardiac & Cardiovascular System,S181568219
2969,EUROPEAN HEART JOURNAL-ACUTE CARDIOVASCULAR CARE,2048-8726,2048-8734,Cardiac & Cardiovascular System,S2764501950
2970,EUROPEAN HEART JOURNAL-CARDIOVASCULAR IMAGING,2047-2404,2047-2412,"Cardiac & Cardiovascular System | Radiology, Nuclear Medicine & Medical Imaging",S64942916
2971,EUROPEAN HEART JOURNAL-CARDIOVASCULAR PHARMACOTHERAPY,2055-6837,2055-6845,Cardiac & Cardiovascular System | Pharmacology & Pharmacy,S2735768669
2972,EUROPEAN HEART JOURNAL-QUALITY OF CARE AND CLINICAL OUTCOMES,2058-5225,2058-1742,Cardiac & Cardiovascular System,S2735811053
2973,EUROPEAN HEART JOURNAL SUPPLEMENTS,1520-765X,1554-2815,Cardiac & Cardiovascular System,S81127
2974,EUROPEAN JOURNAL FOR PHILOSOPHY OF SCIENCE,1879-4912,1879-4920,History & Philosophy Of Science,S2764495318
2975,EUROPEAN JOURNAL OF AGRONOMY,1161-0301,1873-7331,Agronomy,S129843401
2976,EUROPEAN JOURNAL OF ANAESTHESIOLOGY,0265-0215,1365-2346,Anesthesiology,S108768312
2977,EUROPEAN JOURNAL OF APPLIED MATHEMATICS,0956-7925,1469-4425,"Mathematics, Applied",S8839896
2978,EUROPEAN JOURNAL OF APPLIED PHYSIOLOGY,1439-6319,1439-6327,Physiology | Sport Sciences,S205145379
2979,EUROPEAN JOURNAL OF CANCER,0959-8049,1879-0852,Oncology,S16731738
2980,EUROPEAN JOURNAL OF CANCER CARE,0961-5423,1365-2354,Oncology | Health Care Sciences & Services | Nursing | Rehabilitation,S142055198
2981,EUROPEAN JOURNAL OF CANCER PREVENTION,0959-8278,1473-5709,Oncology,S35423025
2982,EUROPEAN JOURNAL OF CARDIO-THORACIC SURGERY,1010-7940,1873-734X,Cardiac & Cardiovascular System | Respiratory System | Surgery,S10542796
2983,EUROPEAN JOURNAL OF CARDIOVASCULAR NURSING,1474-5151,1873-1953,Cardiac & Cardiovascular System | Nursing,S178548257
2984,EUROPEAN JOURNAL OF CELL BIOLOGY,0171-9335,1618-1298,Cell Biology,S170067410
2985,EUROPEAN JOURNAL OF CLINICAL INVESTIGATION,0014-2972,1365-2362,"Medicine, General & Internal | Medicine, Research & Experimental",S153084679
2986,EUROPEAN JOURNAL OF CLINICAL MICROBIOLOGY & INFECTIOUS DISEASES,0934-9723,1435-4373,Infectious Diseases | Microbiology,S130127385
2987,EUROPEAN JOURNAL OF CLINICAL NUTRITION,0954-3007,1476-5640,Nutrition & Dietetics,S126770807
2988,EUROPEAN JOURNAL OF CLINICAL PHARMACOLOGY,0031-6970,1432-1041,Pharmacology & Pharmacy,S31780008
2989,EUROPEAN JOURNAL OF COMBINATORICS,0195-6698,1095-9971,Mathematics,S204851967
2990,EUROPEAN JOURNAL OF CONTRACEPTION AND REPRODUCTIVE HEALTH CARE,1362-5187,1473-0782,"Public, Environmental & Occupational Health | Obstetrics & Gynecology",S31672787
2991,EUROPEAN JOURNAL OF CONTROL,0947-3580,1435-5671,Automation & Control Systems,S21401918
2992,EUROPEAN JOURNAL OF DENTAL EDUCATION,1396-5883,1600-0579,"Dentistry, Oral Surgery & Medicine | Education, Scientific Disciplines",S158472458
2993,EUROPEAN JOURNAL OF DERMATOLOGY,1167-1122,1952-4013,Dermatology,S40813422
2994,EUROPEAN JOURNAL OF DRUG METABOLISM AND PHARMACOKINETICS,0378-7966,2107-0180,Pharmacology & Pharmacy,S204244929
2995,EUROPEAN JOURNAL OF EMERGENCY MEDICINE,0969-9546,1473-5695,Emergency Medicine,S170806771
2996,EUROPEAN JOURNAL OF ENDOCRINOLOGY,0804-4643,1479-683X,Endocrinology & Metabolism,S4210218062
2997,EUROPEAN JOURNAL OF ENTOMOLOGY,,1802-8829,Entomology,
2998,EUROPEAN JOURNAL OF ENVIRONMENTAL AND CIVIL ENGINEERING,1964-8189,2116-7214,"Engineering, Civil | Engineering, Geological",S105391359
2999,EUROPEAN JOURNAL OF EPIDEMIOLOGY,0393-2990,1573-7284,"Public, Environmental & Occupational Health",S48690275
3000,EUROPEAN JOURNAL OF FOREST RESEARCH,1612-4669,1612-4677,Forestry,S71976930
3001,EUROPEAN JOURNAL OF GASTROENTEROLOGY & HEPATOLOGY,0954-691X,1473-5687,Gastroenterology & Hepatology,S937433771
3002,EUROPEAN JOURNAL OF GENERAL PRACTICE,1381-4788,1751-1402,"Primary Health Care | Medicine, General & Internal",S32220745
3003,EUROPEAN JOURNAL OF GYNAECOLOGICAL ONCOLOGY,0392-2936,2709-0086,Oncology | Obstetrics & Gynecology,S185000910
3004,EUROPEAN JOURNAL OF HAEMATOLOGY,0902-4441,1600-0609,Hematology,S159715054
3005,EUROPEAN JOURNAL OF HEART FAILURE,1388-9842,1879-0844,Cardiac & Cardiovascular System,S87609158
3006,EUROPEAN JOURNAL OF HISTOCHEMISTRY,1121-760X,2038-8306,Cell Biology,S182700976
3007,EUROPEAN JOURNAL OF HORTICULTURAL SCIENCE,1611-4426,1611-4434,Horticulture,S170604008
3008,EUROPEAN JOURNAL OF HOSPITAL PHARMACY,2047-9956,2047-9964,Pharmacology & Pharmacy,S3012707348
3009,EUROPEAN JOURNAL OF HUMAN GENETICS,1018-4813,1476-5438,Biochemistry & Molecular Biology | Genetics & Heredity,S121703463
3010,EUROPEAN JOURNAL OF IMMUNOLOGY,0014-2980,1521-4141,Immunology,S126191069
3011,EUROPEAN JOURNAL OF INDUSTRIAL ENGINEERING,1751-5254,1751-5262,"Engineering, Industrial | Operations Research & Management Science",S184386034
3012,EUROPEAN JOURNAL OF INFLAMMATION,1721-727X,2058-7392,Immunology,S177651330
3013,EUROPEAN JOURNAL OF INFORMATION SYSTEMS,0960-085X,1476-9344,"Computer Science, Information Systems",S116712389
3014,EUROPEAN JOURNAL OF INORGANIC CHEMISTRY,1434-1948,1099-0682,"Chemistry, Inorganic & Nuclear",S16435181
3015,EUROPEAN JOURNAL OF INTEGRATIVE MEDICINE,1876-3820,1876-3839,Integrative & Complementary Medicine,S131488450
3016,EUROPEAN JOURNAL OF INTERNAL MEDICINE,0953-6205,1879-0828,"Medicine, General & Internal",S138083468
3017,EUROPEAN JOURNAL OF LIPID SCIENCE AND TECHNOLOGY,,1438-9312,Food Science & Technology | Nutrition & Dietetics,
3018,EUROPEAN JOURNAL OF MASS SPECTROMETRY,1469-0667,1751-6838,"Physics, Atomic, Molecular & Chemical | Spectroscopy",S4210216295
3019,EUROPEAN JOURNAL OF MECHANICS A-SOLIDS,0997-7538,1873-7285,Mechanics,S197285952
3020,EUROPEAN JOURNAL OF MECHANICS B-FLUIDS,0997-7546,1873-7390,"Mechanics | Physics, Fluids & Plasmas",S75679255
3021,EUROPEAN JOURNAL OF MEDICAL GENETICS,1769-7212,1878-0849,Genetics & Heredity,S160362754
3022,EUROPEAN JOURNAL OF MEDICAL RESEARCH,0949-2321,2047-783X,"Medicine, Research & Experimental",S64516541
3023,EUROPEAN JOURNAL OF MEDICINAL CHEMISTRY,0223-5234,1768-3254,"Chemistry, Medicinal",S4210169613
3024,EUROPEAN JOURNAL OF MINERALOGY,0935-1221,1617-4011,Mineralogy,S114012392
3025,EUROPEAN JOURNAL OF NEUROLOGY,1351-5101,1468-1331,Clinical Neurology | Neurosciences,S162635963
3026,EUROPEAN JOURNAL OF NEUROSCIENCE,0953-816X,1460-9568,Neurosciences,S171130801
3027,EUROPEAN JOURNAL OF NUCLEAR MEDICINE AND MOLECULAR IMAGING,1619-7070,1619-7089,"Radiology, Nuclear Medicine & Medical Imaging",S191349260
3028,EUROPEAN JOURNAL OF NUTRITION,1436-6207,1436-6215,Nutrition & Dietetics,S4210183135
3029,EUROPEAN JOURNAL OF OBSTETRICS & GYNECOLOGY AND REPRODUCTIVE BIOLOGY,0301-2115,1872-7654,Obstetrics & Gynecology | Reproductive Biology,S17762386
3030,EUROPEAN JOURNAL OF ONCOLOGY NURSING,1462-3889,1532-2122,Oncology | Nursing,S198387837
3031,EUROPEAN JOURNAL OF OPERATIONAL RESEARCH,0377-2217,1872-6860,Operations Research & Management Science,S103321696
3032,EUROPEAN JOURNAL OF OPHTHALMOLOGY,1120-6721,1724-6016,Ophthalmology,S128637052
3033,EUROPEAN JOURNAL OF ORAL SCIENCES,0909-8836,1600-0722,"Dentistry, Oral Surgery & Medicine",S40136177
3034,EUROPEAN JOURNAL OF ORGANIC CHEMISTRY,1434-193X,1099-0690,"Chemistry, Organic",S21317199
3035,EUROPEAN JOURNAL OF ORTHODONTICS,0141-5387,1460-2210,"Dentistry, Oral Surgery & Medicine",S64889221
3036,EUROPEAN JOURNAL OF PAEDIATRIC DENTISTRY,1591-996X,2035-648X,"Dentistry, Oral Surgery & Medicine | Pediatrics",S2764683509
3037,EUROPEAN JOURNAL OF PAEDIATRIC NEUROLOGY,1090-3798,1532-2130,Clinical Neurology | Pediatrics,S30097070
3038,EUROPEAN JOURNAL OF PAIN,1090-3801,1532-2149,Anesthesiology | Clinical Neurology | Neurosciences,S143744428
3039,EUROPEAN JOURNAL OF PEDIATRICS,0340-6199,1432-1076,Pediatrics,S48201647
3040,EUROPEAN JOURNAL OF PEDIATRIC SURGERY,0939-7248,1439-359X,Pediatrics | Surgery,S42576627
3041,EUROPEAN JOURNAL OF PHARMACEUTICAL SCIENCES,0928-0987,1879-0720,Pharmacology & Pharmacy,S119477091
3042,EUROPEAN JOURNAL OF PHARMACEUTICS AND BIOPHARMACEUTICS,0939-6411,1873-3441,Pharmacology & Pharmacy,S122302516
3043,EUROPEAN JOURNAL OF PHARMACOLOGY,0014-2999,1879-0712,Pharmacology & Pharmacy,S187816532
3044,EUROPEAN JOURNAL OF PHYCOLOGY,0967-0262,1469-4433,Plant Sciences | Marine & Freshwater Biology,S133660675
3045,EUROPEAN JOURNAL OF PHYSICAL AND REHABILITATION MEDICINE,1973-9087,1973-9095,Rehabilitation,S59840410
3046,EUROPEAN JOURNAL OF PHYSICS,0143-0807,1361-6404,"Education, Scientific Disciplines | Physics, Multidisciplinary",S118704488
3047,EUROPEAN JOURNAL OF PLANT PATHOLOGY,0929-1873,1573-8469,Agronomy | Plant Sciences | Horticulture,S29946585
3048,EUROPEAN JOURNAL OF PREVENTIVE CARDIOLOGY,2047-4873,2047-4881,Cardiac & Cardiovascular System,S201064403
3049,EUROPEAN JOURNAL OF PROTISTOLOGY,0932-4739,1618-0429,Microbiology,S172934240
3050,EUROPEAN JOURNAL OF PUBLIC HEALTH,1101-1262,1464-360X,"Public, Environmental & Occupational Health",S4210220588
3051,EUROPEAN JOURNAL OF RADIOLOGY,0720-048X,1872-7727,"Radiology, Nuclear Medicine & Medical Imaging",S22285447
3052,EUROPEAN JOURNAL OF REMOTE SENSING,,2279-7254,Remote Sensing,
3053,EUROPEAN JOURNAL OF SOIL BIOLOGY,1164-5563,1778-3615,Ecology | Soil Science,S126894729
3054,EUROPEAN JOURNAL OF SOIL SCIENCE,1351-0754,1365-2389,Soil Science,S25612858
3055,EUROPEAN JOURNAL OF SPORT SCIENCE,1746-1391,1536-7290,Sport Sciences,S18135458
3056,EUROPEAN JOURNAL OF TAXONOMY,,2118-9773,Plant Sciences | Entomology | Zoology,
3057,EUROPEAN JOURNAL OF TRAUMA AND EMERGENCY SURGERY,1863-9933,1863-9941,Emergency Medicine,S90626604
3058,EUROPEAN JOURNAL OF VASCULAR AND ENDOVASCULAR SURGERY,1078-5884,1532-2165,Surgery | Peripheral Vascular Diseases,S138569045
3059,EUROPEAN JOURNAL OF WILDLIFE RESEARCH,1612-4642,1439-0574,Ecology | Zoology,S195743144
3060,EUROPEAN JOURNAL OF WOOD AND WOOD PRODUCTS,0018-3768,1436-736X,"Forestry | Materials Science, Paper & Wood",S61428987
3061,EUROPEAN JOURNAL ON ARTIFICIAL INTELLIGENCE,3050-4554,3050-4546,"Computer Science, Artificial Intelligence",
3062,EUROPEAN NEUROLOGY,0014-3022,1421-9913,Clinical Neurology | Neurosciences,S162735375
3063,EUROPEAN NEUROPSYCHOPHARMACOLOGY,0924-977X,1873-7862,Clinical Neurology | Neurosciences | Pharmacology & Pharmacy | Psychiatry,S168041952
3064,EUROPEAN PHYSICAL JOURNAL A,1434-6001,1434-601X,"Physics, Nuclear | Physics, Particles & Fields",S4210173186
3065,EUROPEAN PHYSICAL JOURNAL-APPLIED PHYSICS,1286-0042,1286-0050,"Physics, Applied",S201767027
3066,EUROPEAN PHYSICAL JOURNAL B,1434-6028,1434-6036,"Physics, Condensed Matter",S9051360
3067,EUROPEAN PHYSICAL JOURNAL C,1434-6044,1434-6052,"Physics, Particles & Fields",S94052278
3068,EUROPEAN PHYSICAL JOURNAL D,1434-6060,1434-6079,"Optics | Physics, Atomic, Molecular & Chemical",S174148793
3069,EUROPEAN PHYSICAL JOURNAL E,1292-8941,1292-895X,"Chemistry, Physical | Materials Science, Multidisciplinary | Physics, Applied | Polymer Science",S34211650
3070,EUROPEAN PHYSICAL JOURNAL H,2102-6459,2102-6467,"History & Philosophy Of Science | Physics, Multidisciplinary",S939652526
3071,EUROPEAN PHYSICAL JOURNAL PLUS,2190-5444,2190-5444,"Physics, Multidisciplinary",S2500088085
3072,EUROPEAN PHYSICAL JOURNAL-SPECIAL TOPICS,1951-6355,1951-6401,"Physics, Multidisciplinary",S138062970
3073,EUROPEAN POLYMER JOURNAL,0014-3057,1873-1945,Polymer Science,S135472351
3074,EUROPEAN POULTRY SCIENCE,1612-9199,1612-9199,"Agriculture, Dairy & Animal Science",S195881585
3075,EUROPEAN PSYCHIATRY,0924-9338,1778-3585,Psychiatry,S87202501
3076,EUROPEAN RADIOLOGY,0938-7994,1432-1084,"Radiology, Nuclear Medicine & Medical Imaging",S4819472
3077,EUROPEAN RESPIRATORY JOURNAL,0903-1936,1399-3003,Respiratory System,S4210207896
3078,EUROPEAN RESPIRATORY REVIEW,0905-9180,1600-0617,Respiratory System,S168221024
3079,EUROPEAN REVIEW OF AGING AND PHYSICAL ACTIVITY,1813-7253,1861-6909,Geriatrics & Gerontology,S69082098
3080,EUROPEAN REVIEW OF AGRICULTURAL ECONOMICS,0165-1587,1464-3618,Agricultural Economics & Policy,S32361082
3081,EUROPEAN SPINE JOURNAL,0940-6719,1432-0932,Clinical Neurology | Orthopedics,S100227592
3082,EUROPEAN STROKE JOURNAL,2396-9873,2396-9881,Clinical Neurology | Peripheral Vascular Diseases,S4210181306
3083,EUROPEAN SURGERY-ACTA CHIRURGICA AUSTRIACA,1682-8631,1682-4016,Surgery,S21227055
3084,EUROPEAN SURGICAL RESEARCH,0014-312X,1421-9921,Surgery,S163499983
3085,EUROPEAN THYROID JOURNAL,2235-0640,2235-0802,Endocrinology & Metabolism,S2764859698
3086,EUROPEAN TRANSPORT RESEARCH REVIEW,1867-0717,1866-8887,Transportation Science & Technology,S106956883
3087,EUROPEAN UROLOGY,0302-2838,1873-7560,Urology & Nephrology,S96871409
3088,EUROPEAN UROLOGY FOCUS,,2405-4569,Urology & Nephrology,
3089,EUROPEAN UROLOGY ONCOLOGY,,2588-9311,Oncology | Urology & Nephrology,
3090,EUROPEAN UROLOGY OPEN SCIENCE,2666-1691,2666-1683,Urology & Nephrology,S4210182343
3091,EUROPEAN ZOOLOGICAL JOURNAL,2475-0263,2475-0263,Zoology,S4210238309
3092,EUROSURVEILLANCE,1025-496X,1560-7917,Infectious Diseases,S50690046
3093,EVALUATION & THE HEALTH PROFESSIONS,0163-2787,1552-3918,Health Care Sciences & Services,S190981846
3094,EVODEVO,,2041-9139,Evolutionary Biology | Developmental Biology,
3095,EVOLUTION,0014-3820,1558-5646,Ecology | Evolutionary Biology | Genetics & Heredity,S87560609
3096,EVOLUTION AND HUMAN BEHAVIOR,1090-5138,1879-0607,Behavioral Sciences,S148068116
3097,EVOLUTIONARY APPLICATIONS,1752-4571,1752-4571,Evolutionary Biology,S140378306
3098,EVOLUTIONARY BIOINFORMATICS,1176-9343,1176-9343,Evolutionary Biology | Mathematical & Computational Biology,S187114417
3099,EVOLUTIONARY BIOLOGY,0071-3260,1934-2845,Evolutionary Biology,S198828251
3100,EVOLUTIONARY COMPUTATION,1063-6560,1530-9304,"Computer Science, Artificial Intelligence | Computer Science, Theory & Methods",S38677346
3101,EVOLUTIONARY ECOLOGY,0269-7653,1573-8477,Ecology | Evolutionary Biology | Genetics & Heredity,S172494440
3102,EVOLUTION & DEVELOPMENT,1520-541X,1525-142X,Evolutionary Biology | Developmental Biology | Genetics & Heredity,S51549918
3103,EVOLUTION EQUATIONS AND CONTROL THEORY,2163-2480,2163-2480,"Mathematics, Applied | Mathematics",S2764620180
3104,EVOLUTION LETTERS,,2056-3744,Evolutionary Biology,
3105,EVOLUTION MEDICINE AND PUBLIC HEALTH,,2050-6201,"Evolutionary Biology | Public, Environmental & Occupational Health",
3106,EVOLVING SYSTEMS,1868-6478,1868-6486,"Computer Science, Artificial Intelligence",S202254422
3107,EXCLI JOURNAL,1611-2156,1611-2156,Biology,S39273986
3108,EXERCISE AND SPORT SCIENCES REVIEWS,0091-6331,1538-3008,Physiology | Sport Sciences,S101036573
3109,EXERCISE IMMUNOLOGY REVIEW,1077-5552,1077-5552,Immunology | Sport Sciences,S57385450
3110,EXPERIMENTAL AGING RESEARCH,0361-073X,1096-4657,Geriatrics & Gerontology | Psychology,S89525197
3111,EXPERIMENTAL AGRICULTURE,0014-4797,1469-4441,Agronomy,S167675576
3112,EXPERIMENTAL AND APPLIED ACAROLOGY,0168-8162,1572-9702,Entomology,S150156781
3113,EXPERIMENTAL AND CLINICAL ENDOCRINOLOGY & DIABETES,0947-7349,1439-3646,Endocrinology & Metabolism,S67343978
3114,EXPERIMENTAL AND CLINICAL PSYCHOPHARMACOLOGY,1064-1297,1936-2293,Pharmacology & Pharmacy | Psychiatry,S357931
3115,EXPERIMENTAL AND CLINICAL TRANSPLANTATION,1304-0855,2146-8427,Transplantation,S50972362
3116,EXPERIMENTAL AND MOLECULAR MEDICINE,1226-3613,2092-6413,"Biochemistry & Molecular Biology | Medicine, Research & Experimental",S57588113
3117,EXPERIMENTAL AND MOLECULAR PATHOLOGY,0014-4800,1096-0945,Pathology,S111757857
3118,EXPERIMENTAL AND THERAPEUTIC MEDICINE,1792-0981,1792-1015,"Medicine, Research & Experimental",S151424340
3119,EXPERIMENTAL ANIMALS,1341-1357,1881-7122,Veterinary Sciences | Zoology,S4210168996
3120,EXPERIMENTAL ASTRONOMY,0922-6435,1572-9508,Astronomy & Astrophysics,S170977379
3121,EXPERIMENTAL BIOLOGY AND MEDICINE,1535-3702,1535-3699,"Medicine, Research & Experimental",S67514239
3122,EXPERIMENTAL BRAIN RESEARCH,0014-4819,1432-1106,Neurosciences,S45281609
3123,EXPERIMENTAL CELL RESEARCH,0014-4827,1090-2422,Oncology | Cell Biology,S132505712
3124,EXPERIMENTAL DERMATOLOGY,0906-6705,1600-0625,Dermatology,S158010168
3125,EXPERIMENTAL EYE RESEARCH,0014-4835,1096-0007,Ophthalmology,S129637156
3126,EXPERIMENTAL GERONTOLOGY,0531-5565,1873-6815,Geriatrics & Gerontology,S122591147
3127,EXPERIMENTAL HEAT TRANSFER,0891-6152,1521-0480,"Thermodynamics | Engineering, Mechanical",S25352102
3128,EXPERIMENTAL HEMATOLOGY,0301-472X,1873-2399,"Hematology | Medicine, Research & Experimental",S72188638
3129,EXPERIMENTAL HEMATOLOGY & ONCOLOGY,,2162-3619,Oncology | Hematology,
3130,EXPERIMENTAL LUNG RESEARCH,0190-2148,1521-0499,Respiratory System,S97217451
3131,EXPERIMENTAL MATHEMATICS,1058-6458,1944-950X,Mathematics,S119636414
3132,EXPERIMENTAL MECHANICS,0014-4851,1741-2765,"Materials Science, Multidisciplinary | Mechanics | Materials Science, Characterization, Testing",S164098111
3133,EXPERIMENTAL NEUROBIOLOGY,1226-2560,2093-8144,"Medicine, Research & Experimental | Neurosciences",S4210220946
3134,EXPERIMENTAL NEUROLOGY,0014-4886,1090-2430,Neurosciences,S165592611
3135,EXPERIMENTAL PARASITOLOGY,0014-4894,1090-2449,Parasitology,S102868315
3136,EXPERIMENTAL PHYSIOLOGY,0958-0670,1469-445X,Physiology,S65894173
3137,EXPERIMENTAL TECHNIQUES,0732-8818,1747-1567,"Engineering, Mechanical | Mechanics | Materials Science, Characterization, Testing",S194443205
3138,EXPERIMENTAL THERMAL AND FLUID SCIENCE,0894-1777,1879-2286,"Thermodynamics | Engineering, Mechanical | Physics, Fluids & Plasmas",S130017051
3139,EXPERIMENTS IN FLUIDS,0723-4864,1432-1114,"Engineering, Mechanical | Mechanics",S138356703
3140,EXPERT OPINION ON BIOLOGICAL THERAPY,1471-2598,1744-7682,"Biotechnology & Applied Microbiology | Medicine, Research & Experimental",S57380513
3141,EXPERT OPINION ON DRUG DELIVERY,1742-5247,1744-7593,Pharmacology & Pharmacy,S51663496
3142,EXPERT OPINION ON DRUG DISCOVERY,1746-0441,1746-045X,Pharmacology & Pharmacy,S142541038
3143,EXPERT OPINION ON DRUG METABOLISM & TOXICOLOGY,1742-5255,1744-7607,Biochemistry & Molecular Biology | Pharmacology & Pharmacy | Toxicology,S102336391
3144,EXPERT OPINION ON DRUG SAFETY,1474-0338,1744-764X,Pharmacology & Pharmacy,S20709540
3145,EXPERT OPINION ON EMERGING DRUGS,1472-8214,1744-7623,Pharmacology & Pharmacy,S66445379
3146,EXPERT OPINION ON INVESTIGATIONAL DRUGS,1354-3784,1744-7658,Pharmacology & Pharmacy,S131064935
3147,EXPERT OPINION ON PHARMACOTHERAPY,1465-6566,1744-7666,Pharmacology & Pharmacy,S52020611
3148,EXPERT OPINION ON THERAPEUTIC PATENTS,1354-3776,1744-7674,"Chemistry, Medicinal | Pharmacology & Pharmacy",S3784663
3149,EXPERT OPINION ON THERAPEUTIC TARGETS,1472-8222,1744-7631,Pharmacology & Pharmacy,S149756942
3150,EXPERT REVIEW OF ANTICANCER THERAPY,1473-7140,1744-8328,Oncology,S93370067
3151,EXPERT REVIEW OF ANTI-INFECTIVE THERAPY,1478-7210,1744-8336,Infectious Diseases | Microbiology | Pharmacology & Pharmacy,S185628608
3152,EXPERT REVIEW OF CLINICAL IMMUNOLOGY,1744-666X,1744-8409,Immunology,S170220373
3153,EXPERT REVIEW OF CLINICAL PHARMACOLOGY,1751-2433,1751-2441,Pharmacology & Pharmacy,S102962966
3154,EXPERT REVIEW OF GASTROENTEROLOGY & HEPATOLOGY,1747-4124,1747-4132,Gastroenterology & Hepatology,S175204640
3155,EXPERT REVIEW OF HEMATOLOGY,1747-4086,1747-4094,Hematology,S73682863
3156,EXPERT REVIEW OF MEDICAL DEVICES,1743-4440,1745-2422,"Engineering, Biomedical",S1900417
3157,EXPERT REVIEW OF MOLECULAR DIAGNOSTICS,1473-7159,1744-8352,Pathology,S124386304
3158,EXPERT REVIEW OF NEUROTHERAPEUTICS,1473-7175,1744-8360,Clinical Neurology | Pharmacology & Pharmacy,S1502225
